id,province,district,gi2007,gi2008,gi2009,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019,gi2020,gi2021,gi2022,gi2023
1,Aceh,Aceh Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Aceh,Aceh Barat Daya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Aceh,Aceh Besar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Aceh,Aceh Jaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Aceh,Aceh Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Aceh,Aceh Singkil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Aceh,Aceh Tamiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Aceh,Aceh Tengah,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Aceh,Aceh Tenggara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Aceh,Aceh Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Aceh,Aceh Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sumatera Barat,Agam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nusa Tenggara Timur ,Alor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Sumatera Utara,Asahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Papua,Asmat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Bali,Badung,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Kalimantan Selatan,Balangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Jawa Barat,Bandung,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
19,Jawa Barat,Bandung Barat,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
20,Sulawesi Tengah ,Banggai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Sulawesi Tengah ,Banggai Kepulauan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Sulawesi Tengah ,Banggai Laut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Kep. Bangka Belitung,Bangka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Kep. Bangka Belitung,Bangka Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Kep. Bangka Belitung,Bangka Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Kep. Bangka Belitung,Bangka Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Jawa Timur ,Bangkalan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Bali,Bangli,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,Kalimantan Selatan,Banjar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Jawa Tengah,Banjarnegara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Sulawesi Selatan ,Bantaeng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,DI Yogyakarta ,Bantul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Sumatera Selatan ,Banyuasin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Jawa Tengah,Banyumas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Jawa Timur ,Banyuwangi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Kalimantan Selatan,Barito Kuala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Kalimantan Tengah,Barito Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Kalimantan Tengah,Barito Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Kalimantan Tengah,Barito Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Sulawesi Selatan ,Barru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Jawa Tengah,Batang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Jambi,Batang Hari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Sumatera Utara,Batu Bara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Jawa Barat,Bekasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Kep. Bangka Belitung,Belitung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Kep. Bangka Belitung,Belitung Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nusa Tenggara Timur ,Belu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Aceh,Bener Meriah,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,Riau,Bengkalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Kalimantan Barat,Bengkayang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Bengkulu,Bengkulu Selatan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Bengkulu,Bengkulu Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Bengkulu,Bengkulu Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Kalimantan Timur ,Berau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Papua,Biak Numfor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Nusa Tenggara Barat,Bima,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
57,Kep. Riau,Bintan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Aceh,Bireuen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jawa Timur ,Blitar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Jawa Tengah,Blora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Gorontalo,Boalemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Jawa Barat,Bogor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,Jawa Timur ,Bojonegoro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Sulawesi Utara ,Bolaang Mongondow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Sulawesi Utara ,Bolaang Mongondow Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Sulawesi Utara ,Bolaang Mongondow Timur ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Sulawesi Utara ,Bolaang Mongondow Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Sulawesi Tenggara,Bombana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Jawa Timur ,Bondowoso,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
70,Sulawesi Selatan ,Bone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Gorontalo,Bone Bolango,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
72,Kalimantan Timur ,Bontang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Papua,Boven Digoel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
