id,province,district,hdi2010,hdi2011,hdi2012,hdi2013,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018,hdi2019,hdi2020,hdi2021,hdi2022,hdi2023
1,Aceh,Aceh Barat,66.05,66.47,66.66,66.86,67.31,68.41,69.26,70.2,70.47,71.22,71.38,71.67,72.34,72.88
2,Aceh,Aceh Barat Daya,60.91,61.75,62.15,62.62,63.08,63.77,64.57,65.09,65.67,66.56,66.75,66.99,67.41,68.07
3,Aceh,Aceh Besar,69.76,69.94,70.1,70.61,71.06,71.7,71.75,72,72.73,73.55,73.56,73.58,74,74.53
4,Aceh,Aceh Jaya,64.75,65.17,66.42,66.92,67.3,67.53,67.7,68.07,68.83,69.74,69.75,69.84,70.36,70.88
5,Aceh,Aceh Selatan,61.22,61.52,61.69,62.27,62.35,63.28,64.13,65.03,65.92,66.9,67.12,67.44,67.87,68.44
6,Aceh,Aceh Singkil,62.36,63.13,64.23,64.87,65.27,66.05,66.96,67.37,68.02,68.91,68.94,69.22,69.62,70.14
7,Aceh,Aceh Tamiang,64.67,64.89,65.21,65.56,66.09,67.03,67.41,67.99,68.45,69.23,69.24,69.48,70.43,71.35
8,Aceh,Aceh Tengah,69.17,70,70.18,70.51,70.96,71.51,72.04,72.19,72.64,73.14,73.24,73.37,73.95,74.6
9,Aceh,Aceh Tenggara,63.82,64.27,64.99,65.55,65.9,66.77,67.48,68.09,68.67,69.36,69.37,69.44,70.32,71.05
10,Aceh,Aceh Timur,61.75,62.35,62.93,63.27,63.57,64.55,65.42,66.32,66.82,67.39,67.63,67.83,68.72,69.32
11,Aceh,Aceh Utara,63.56,64.22,64.82,65.36,65.93,66.85,67.19,67.67,68.36,69.22,69.33,69.46,70.22,70.87
12,Sumatera Barat,Agam,66.12,66.94,67.95,68.73,69.32,69.84,70.36,71.1,71.7,72.37,72.46,72.57,73.29,73.98
13,Nusa Tenggara Timur ,Alor,55.46,56.01,56.47,57.52,58,58.5,58.99,59.61,60.14,61.03,61.33,61.37,62.26,62.99
