shapeName,sum,year
Kepulauan Mentawai,68340.21176,2010
Kepulauan Meranti,67808.25882,2010
Kepulauan Sangihe,42284.80784,2010
Kepulauan Selayar,79043.58824,2010
Kepulauan Sula,14122.58431,2010
Kepulauan Talaud,182641.9843,2010
Kerinci,259840.5608,2010
Ketapang,490552.1333,2010
Klaten,1312452.588,2010
Klungkung,222100.9608,2010
Kolaka,209127.5608,2010
Kolaka Timur,126795.1216,2010
Kolaka Utara,40850.85882,2010
Konawe,228461.749,2010
Konawe Kepulauan,9410.180392,2010
Konawe Selatan,216576.4235,2010
Konawe Utara,59113.39608,2010
Kota Ambon,148352.4706,2010
Kota Balikpapan,359974.3333,2010
Kota Banda Aceh,283134.7137,2010
Kota Bandar Lampung,827323.9725,2010
Kota Bandung,2328042.541,2010
Kota Banjar,161368.5922,2010
Kota Banjar Baru,170275.3961,2010
Kota Banjarmasin,643197.5608,2010
Kota Baru,267674.3451,2010
Kota Batam,443556.9725,2010
Kota Batu,197765.2471,2010
Kota Baubau,25195,2010
Kota Bekasi,1886047.157,2010
Kota Bengkulu,446862.0392,2010
Kota Bima,87074.42353,2010
Kota Binjai,236875.3176,2010
Kota Bitung,34428.10588,2010
Kota Blitar,139588.2314,2010
Kota Bogor,875038.5333,2010
Kota Bontang,96001.54118,2010
Kota Bukittinggi,95537.15294,2010
Kota Cilegon,359472.7922,2010
Kota Cimahi,295871.3922,2010
Kota Cirebon,387917.7843,2010
Kota Denpasar,623018.9451,2010
Kota Depok,1359385.992,2010
Kota Dumai,454936.0431,2010
Kota Gorontalo,136139.3882,2010
Kota Gunungsitoli,32128.4,2010
Kota Jakarta Barat,2275533.016,2010
Kota Jakarta Pusat,979877.3373,2010
Kota Jakarta Selatan,2069071.933,2010
Kota Jakarta Timur,2895322.353,2010
Kota Jakarta Utara,1594378.043,2010
Kota Jambi,517965.0078,2010
Kota Kediri,296694.8275,2010
Kota Kendari,225102.3686,2010
Kota Kotamobagu,123204.6588,2010
Kota Kupang,246245.8706,2010
Kota Langsa,135044.6157,2010
Kota Lhokseumawe,102962.4353,2010
Kota Lubuklinggau,138957.6235,2010
Kota Madiun,201480.4275,2010
Kota Magelang,134152.9765,2010
Kota Makassar,1323274.588,2010
Kota Malang,1038752.298,2010
Kota Manado,415134.4784,2010
Kota Mataram,748495.5333,2010
Kota Medan,3120259.176,2010
Kota Metro,125134.7922,2010
Kota Mojokerto,124918.0863,2010
Kota Padang,1134170.549,2010
Kota Padang Panjang,45436.33725,2010
Kota Padangsidimpuan,283726.5569,2010
Kota Pagar Alam,38544.01961,2010
Kota Palangka Raya,235606.7255,2010
Kota Palembang,1830013.384,2010
Kota Palopo,79345.38824,2010
Kota Palu,223390.6549,2010
Kota Pangkal Pinang,71749.96471,2010
Kota Parepare,117230.3804,2010
Kota Pariaman,100187.8431,2010
Kota Pasuruan,196152.949,2010
Kota Payakumbuh,168125.2118,2010
Kota Pekalongan,306218.3843,2010
Kota Pekanbaru,770208.1176,2010
Kota Pematang Siantar,299105.9843,2010
Kota Pontianak,873039.949,2010
Kota Prabumulih,84887.14118,2010
Kota Probolinggo,205757.9137,2010
Kota Sabang,19473.94902,2010
Kota Salatiga,235354.3176,2010
Kota Samarinda,626542.6902,2010
Kota Sawah Lunto,91175.0549,2010
Kota Semarang,1584703.361,2010
Kota Serang,438791.8118,2010
Kota Sibolga,38205.70196,2010
Kota Singkawang,341339.2745,2010
Kota Solok,35646.6902,2010
Kota Sorong,51710.9451,2010
Kota Subulussalam,40146.00784,2010
Kota Sukabumi,317421.5137,2010
Kota Sungai Penuh,33824.27843,2010
Kota Surabaya,2993580.024,2010
Kota Surakarta,575686.9725,2010
Kota Tangerang,1584509.38,2010
Kota Tangerang Selatan,700499.3451,2010
Kota Tanjung Balai,120204.4275,2010
Kota Tanjung Pinang,211176.3961,2010
Kota Tarakan,133960.7686,2010
Kota Tasikmalaya,624695.1922,2010
Kota Tebing Tinggi,224769.5294,2010
Kota Tegal,273190.349,2010
Kota Ternate,115983.6118,2010
Kota Tidore Kepulauan,17666.70196,2010
Kota Tomohon,110229.298,2010
Kota Tual,29263.78431,2010
Kota Yogyakarta,470807.8471,2010
Kotawaringin Barat,235403.9569,2010
