id,province,district
1,Aceh,Aceh Barat
2,Aceh,Aceh Barat Daya
3,Aceh,Aceh Besar
4,Aceh,Aceh Jaya
5,Aceh,Aceh Selatan
6,Aceh,Aceh Singkil
7,Aceh,Aceh Tamiang
8,Aceh,Aceh Tengah
9,Aceh,Aceh Tenggara
10,Aceh,Aceh Timur
11,Aceh,Aceh Utara
12,Sumatera Barat,Agam
13,Nusa Tenggara Timur ,Alor
14,Sumatera Utara,Asahan
15,Papua,Asmat
16,Bali,Badung
17,Kalimantan Selatan,Balangan
18,Jawa Barat,Bandung
19,Jawa Barat,Bandung Barat
20,Sulawesi Tengah ,Banggai
21,Sulawesi Tengah ,Banggai Kepulauan
22,Sulawesi Tengah ,Banggai Laut
23,Kep. Bangka Belitung,Bangka
24,Kep. Bangka Belitung,Bangka Barat
25,Kep. Bangka Belitung,Bangka Selatan
26,Kep. Bangka Belitung,Bangka Tengah
27,Jawa Timur ,Bangkalan
28,Bali,Bangli
29,Kalimantan Selatan,Banjar
30,Jawa Tengah,Banjarnegara
31,Sulawesi Selatan ,Bantaeng
32,DI Yogyakarta ,Bantul
33,Sumatera Selatan ,Banyuasin
34,Jawa Tengah,Banyumas
35,Jawa Timur ,Banyuwangi
36,Kalimantan Selatan,Barito Kuala
37,Kalimantan Tengah,Barito Selatan
38,Kalimantan Tengah,Barito Timur
39,Kalimantan Tengah,Barito Utara
40,Sulawesi Selatan ,Barru
41,Jawa Tengah,Batang
42,Jambi,Batang Hari
43,Sumatera Utara,Batu Bara
44,Jawa Barat,Bekasi
45,Kep. Bangka Belitung,Belitung
46,Kep. Bangka Belitung,Belitung Timur
47,Nusa Tenggara Timur ,Belu
48,Aceh,Bener Meriah
49,Riau,Bengkalis
50,Kalimantan Barat,Bengkayang
51,Bengkulu,Bengkulu Selatan 
52,Bengkulu,Bengkulu Tengah
53,Bengkulu,Bengkulu Utara
54,Kalimantan Timur ,Berau
55,Papua,Biak Numfor
56,Nusa Tenggara Barat,Bima
57,Kep. Riau,Bintan
58,Aceh,Bireuen
59,Jawa Timur ,Blitar
60,Jawa Tengah,Blora
61,Gorontalo,Boalemo
62,Jawa Barat,Bogor
63,Jawa Timur ,Bojonegoro
64,Sulawesi Utara ,Bolaang Mongondow
65,Sulawesi Utara ,Bolaang Mongondow Selatan
66,Sulawesi Utara ,Bolaang Mongondow Timur 
67,Sulawesi Utara ,Bolaang Mongondow Utara
68,Sulawesi Tenggara,Bombana
69,Jawa Timur ,Bondowoso
70,Sulawesi Selatan ,Bone
71,Gorontalo,Bone Bolango
72,Kalimantan Timur ,Bontang
73,Papua,Boven Digoel
74,Jawa Tengah,Boyolali
75,Jawa Tengah,Brebes
76,Bali,Buleleng
77,Sulawesi Selatan ,Bulukumba
78,Kalimantan Utara,Bulungan
79,Jambi,Bungo
80,Sulawesi Tengah ,Buol
81,Maluku,Buru
82,Maluku,Buru Selatan
83,Sulawesi Tenggara,Buton
84,Sulawesi Tenggara,Buton Selatan 
85,Sulawesi Tenggara,Buton Tengah 
86,Sulawesi Tenggara,Buton Utara
87,Jawa Barat,Ciamis
88,Jawa Barat,Cianjur
89,Jawa Tengah,Cilacap
90,Jawa Barat,Cirebon
91,Sumatera Utara,Dairi
92,Papua,Deiyai
93,Sumatera Utara,Deli Serdang
