id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,gdpc2020,gdpc2021,,,,,,,,
1,Aceh,Aceh Barat," 4,462,045 "," 4,569,067 "," 4,594,544 "," 4,773,669 "," 4,933,843 "," 5,160,041 "," 5,310,703 "," 6,013,221 "," 6,622,956 "," 6,953,361 "," 7,084,151 "," 7,498,178 ",,,,,,,,
2,Aceh,Aceh Barat Daya," 2,236,932 "," 2,303,126 "," 2,347,145 "," 2,401,899 "," 2,428,320 "," 2,509,314 "," 2,623,751 "," 2,740,778 "," 2,867,191 "," 3,003,268 "," 2,983,765 "," 3,069,805 ",,,,,,,,
3,Aceh,Aceh Besar," 7,081,873 "," 7,265,106 "," 7,549,096 "," 7,863,467 "," 8,184,458 "," 8,513,245 "," 8,858,440 "," 9,213,402 "," 9,561,638 "," 9,977,735 "," 10,016,807 "," 10,261,585 ",,,,,,,,
4,Aceh,Aceh Jaya," 1,422,990 "," 1,482,238 "," 1,541,268 "," 1,590,573 "," 1,649,326 "," 1,710,446 "," 1,777,002 "," 1,848,146 "," 1,922,741 "," 1,994,914 "," 1,982,449 "," 2,033,844 ",,,,,,,,
5,Aceh,Aceh Selatan," 2,830,606 "," 2,953,612 "," 3,115,598 "," 3,281,364 "," 3,429,429 "," 3,574,592 "," 3,740,293 "," 3,887,220 "," 4,063,405 "," 4,243,396 "," 4,241,408 "," 4,345,784 ",,,,,,,,
6,Aceh,Aceh Singkil," 1,211,045 "," 1,263,086 "," 1,315,931 "," 1,374,981 "," 1,426,081 "," 1,479,142 "," 1,540,654 "," 1,600,983 "," 1,664,740 "," 1,731,165 "," 1,713,664 "," 1,780,419 ",,,,,,,,
7,Aceh,Aceh Tamiang," 4,406,760 "," 4,474,076 "," 4,651,203 "," 4,885,619 "," 5,002,817 "," 5,134,530 "," 5,279,640 "," 5,491,009 "," 5,724,228 "," 5,984,419 "," 6,009,374 "," 6,062,520 ",,,,,,,,
8,Aceh,Aceh Tengah," 3,970,994 "," 4,166,899 "," 4,347,739 "," 4,584,209 "," 4,770,082 "," 4,972,052 "," 5,200,044 "," 5,410,437 "," 5,638,960 "," 5,836,845 "," 5,767,948 "," 5,958,118 ",,,,,,,,
9,Aceh,Aceh Tenggara," 2,337,742 "," 2,464,463 "," 2,578,093 "," 2,704,181 "," 2,807,992 "," 2,921,131 "," 3,044,880 "," 3,197,952 "," 3,302,242 "," 3,442,064 "," 3,436,344 "," 3,490,157 ",,,,,,,,
10,Aceh,Aceh Timur," 7,290,036 "," 7,479,287 "," 7,677,934 "," 7,761,221 "," 7,721,422 "," 7,259,934 "," 7,175,795 "," 7,487,535 "," 7,802,175 "," 8,146,982 "," 8,272,641 "," 8,433,526 ",,,,,,,,
11,Aceh,Aceh Utara," 17,200,433 "," 17,867,554 "," 18,151,766 "," 17,836,613 "," 17,195,546 "," 15,184,776 "," 15,195,569 "," 15,544,943 "," 16,286,459 "," 16,852,697 "," 17,017,453 "," 16,926,103 ",,,,,,,,
12,West Sumatera,Agam," 8,918,878 "," 9,454,745 "," 10,038,748 "," 10,656,539 "," 11,287,816 "," 11,911,295 "," 12,567,018 "," 13,249,247 "," 13,942,516 "," 14,608,894 "," 14,409,166 "," 14,942,561 ",,,,,,,,
13,East Nusa Tenggara,Alor," 1,302,160 "," 1,375,382 "," 1,441,950 "," 1,503,156 "," 1,575,302 "," 1,651,909 "," 1,730,551 "," 1,817,735 "," 1,909,710 "," 2,007,184 "," 1,996,044 "," 2,045,994 ",,,,,,,,
14,North Sumatera,Asahan," 16,076,729 "," 16,939,696 "," 17,872,411 "," 18,892,624 "," 20,003,079 "," 21,116,724 "," 22,302,705 "," 23,525,346 "," 24,844,872 "," 26,245,236 "," 26,299,566 "," 27,279,586 ",,,,,,,,
