id,district,categorical_count_2022,mosaic_cropland_2022,rainfed_cropland_2022,sparse_vegetation_2022,categorical_urban_2022,irrigated_cropland_2022,count_2022,categorical_count_2021,mosaic_cropland_2021,rainfed_cropland_2021,sparse_vegetation_2021,categorical_urban_2021,water_bodies_2021,forest_2021,irrigated_cropland_2021,count_2021,categorical_count_2020,mosaic_cropland_2020,rainfed_cropland_2020,sparse_vegetation_2020,categorical_urban_2020,irrigated_cropland_2020,count_2020,categorical_count_2019,mosaic_cropland_2019,rainfed_cropland_2019,sparse_vegetation_2019,categorical_urban_2019,irrigated_cropland_2019,count_2019,categorical_count_2018,mosaic_cropland_2018,rainfed_cropland_2018,sparse_vegetation_2018,categorical_urban_2018,irrigated_cropland_2018,count_2018,categorical_count_2017,mosaic_cropland_2017,rainfed_cropland_2017,sparse_vegetation_2017,categorical_urban_2017,irrigated_cropland_2017,count_2017,categorical_count_2016,mosaic_cropland_2016,rainfed_cropland_2016,sparse_vegetation_2016,categorical_urban_2016,irrigated_cropland_2016,count_2016,categorical_count_2015,mosaic_cropland_2015,rainfed_cropland_2015,sparse_vegetation_2015,categorical_urban_2015,irrigated_cropland_2015,count_2015,categorical_count_2014,mosaic_cropland_2014,rainfed_cropland_2014,sparse_vegetation_2014,categorical_urban_2014,irrigated_cropland_2014,count_2014,categorical_count_2013,mosaic_cropland_2013,rainfed_cropland_2013,sparse_vegetation_2013,categorical_urban_2013,irrigated_cropland_2013,count_2013,categorical_count_2012,mosaic_cropland_2012,rainfed_cropland_2012,sparse_vegetation_2012,categorical_urban_2012,irrigated_cropland_2012,count_2012,categorical_count_2011,mosaic_cropland_2011,rainfed_cropland_2011,sparse_vegetation_2011,categorical_urban_2011,irrigated_cropland_2011,count_2011,categorical_count_2010,mosaic_cropland_2010,rainfed_cropland_2010,sparse_vegetation_2010,categorical_urban_2010,irrigated_cropland_2010,count_2010
0,Aceh Barat,29679,10841,1258,150,77,5,29729.24023,29679,10840,1256,149,77,78,17274,5,29729.24023,29679,10840,1255,149,77,5,29729.24223,29679,10836,1257,149,75,5,29729.24223,29679,10804,1255,149,75,5,29729.24223,29679,10801,1249,149,75,5,29729.24223,29679,10715,1243,136,75,5,29729.24223,29679,10724,1235,123,75,5,29729.24223,29679,10724,1240,123,70,5,29729.24223,29679,10448,1193,123,56,9,29729.24223,29679,10231,1161,117,55,10,29729.24223,29679,10017,1118,56,51,12,29729.24223,29679,10042,1098,28,46,15,29729.24223
1,Aceh Barat Daya,19956,1162,3165,2,61,3,20020.25,19956,1160,3156,2,60,87,15487,3,20020.25,19956,1160,3159,2,54,3,20020.25,19956,1134,3162,2,52,4,20020.25,19956,1116,3147,2,52,4,20020.25,19956,1114,3139,2,52,4,20020.25,19956,1113,3105,2,52,4,20020.25,19956,1112,3065,2,52,4,20020.25,19956,1112,3065,2,52,4,20020.25,19956,1129,3043,2,51,4,20020.25,19956,1109,2903,2,42,5,20020.25,19956,1074,2759,2,41,5,20020.25,19956,1099,2719,2,40,5,20020.25
2,Aceh Besar,30610,9396,4819,260,711,39,30741.19922,30610,9546,4820,260,709,343,14893,39,30741.19922,30610,9603,4824,260,705,39,30741.20093,30610,9565,4856,260,664,42,30741.20093,30610,9442,4853,260,664,42,30741.20093,30610,9383,4853,260,664,42,30741.20093,30610,9364,4853,260,663,42,30741.20093,30610,9312,4854,260,660,42,30741.20093,30610,9313,4880,260,632,42,30741.20093,30610,9288,4927,260,574,43,30741.20093,30610,9242,4996,260,494,44,30741.20093,30610,9160,5008,260,463,47,30741.20093,30610,9164,5020,260,447,47,30741.20093
3,Aceh Jaya,40986,6087,316,69,20,9,41051.38281,40986,5949,300,69,20,169,34470,9,41051.38281,40986,5500,295,69,20,9,41051.37793,40986,5448,295,69,20,9,41051.37793,40986,5408,293,68,20,9,41051.37793,40986,5358,288,65,20,9,41051.37793,40986,5292,284,61,20,9,41051.37793,40986,5215,280,51,20,9,41051.37793,40986,5215,281,51,18,10,41051.37793,40986,5021,259,29,15,10,41051.37793,40986,4744,252,2,13,11,41051.37793,40986,4615,251,2,12,11,41051.37793,40986,4912,279,2,9,11,41051.37793
4,Aceh Selatan,44474,5338,537,1,26,5,44560.22266,44474,5304,538,1,25,351,38250,5,44560.22266,44474,5083,525,1,24,5,44560.22191,44474,5032,523,1,24,5,44560.22191,44474,4891,525,1,24,5,44560.22191,44474,4801,512,1,24,4,44560.22191,44474,4583,502,1,24,4,44560.22191,44474,4478,495,0,24,3,44560.22191,44474,4479,495,0,22,3,44560.22191,44474,4409,497,0,18,3,44560.22191,44474,4376,496,0,16,3,44560.22191,44474,4253,497,0,14,3,44560.22191,44474,4151,498,0,12,3,44560.22191
5,Aceh Singkil,19879,8717,533,29,70,69,19998.10938,19879,8730,525,29,70,482,9947,69,19998.10938,19879,8681,509,29,70,69,19998.10986,19879,8676,507,29,70,67,19998.10986,19879,8661,504,27,70,59,19998.10986,19879,8536,499,27,70,39,19998.10986,19879,8476,498,24,70,30,19998.10986,19879,8484,497,20,70,29,19998.10986,19879,8484,497,20,70,29,19998.10986,19879,8710,498,20,67,29,19998.10986,19879,8684,496,20,66,29,19998.10986,19879,8554,490,19,66,29,19998.10986,19879,8337,475,7,65,26,19998.10986
6,Aceh Tamiang,22638,11340,1488,0,35,19,22681.87109,22638,11464,1487,0,35,286,9347,19,22681.87109,22638,11511,1485,0,34,19,22681.87109,22638,11506,1483,0,34,19,22681.87109,22638,11465,1483,0,34,19,22681.87109,22638,11454,1482,0,34,19,22681.87109,22638,11444,1478,0,34,19,22681.87109,22638,11414,1478,0,34,19,22681.87109,22638,11414,1484,0,28,19,22681.87109,22638,11533,1473,0,16,19,22681.87109,22638,11477,1411,0,12,19,22681.87109,22638,11484,1411,0,12,19,22681.87109,22638,11486,1411,0,12,19,22681.87109
7,Aceh Tengah,49712,4322,6646,465,63,6,49783.35156,49712,4318,6647,464,59,631,37587,6,49783.35156,49712,4516,6646,463,55,6,49783.34998,49712,4367,6627,463,53,7,49783.34998,49712,3997,6390,459,53,7,49783.34998,49712,3753,5870,454,53,7,49783.34998,49712,3714,5760,454,53,7,49783.34998,49712,3678,5717,452,53,7,49783.34998,49712,3679,5718,452,51,7,49783.34998,49712,3673,5604,445,47,7,49783.34998,49712,3668,5596,445,44,7,49783.34998,49712,3706,5597,445,43,7,49783.34998,49712,3717,5611,445,41,7,49783.34998
8,Aceh Tenggara,43748,3909,1615,4,17,4,43812.72656,43748,4001,1618,4,13,0,38108,4,43812.72656,43748,4012,1617,4,13,4,43812.73096,43748,4016,1617,4,13,4,43812.73096,43748,3976,1617,4,13,4,43812.73096,43748,3959,1617,4,13,4,43812.73096,43748,3853,1616,4,13,4,43812.73096,43748,3853,1616,4,13,4,43812.73096,43748,3853,1616,4,13,4,43812.73096,43748,3757,1605,4,12,4,43812.73096,43748,3759,1601,4,10,4,43812.73096,43748,3744,1592,2,9,4,43812.73096,43748,3714,1592,2,9,4,43812.73096
9,Aceh Timur,57450,18630,5260,4,62,46,57579.34766,57450,18619,5267,4,60,1052,32402,46,57579.34766,57450,18618,5326,4,60,46,57579.35132,57450,18577,5325,4,59,46,57579.35132,57450,18475,5319,4,59,46,57579.35132,57450,18410,5315,4,59,46,57579.35132,57450,18383,5316,4,58,46,57579.35132,57450,18294,5317,4,56,46,57579.35132,57450,18294,5322,4,51,46,57579.35132,57450,18298,5248,4,43,36,57579.35132,57450,18088,5223,4,36,36,57579.35132,57450,18062,5223,4,34,36,57579.35132,57450,18026,5201,4,34,36,57579.35132
