id,shapeName,tmp_2010,tmp_2011,tmp_2012,tmp_2013,tmp_2014,tmp_2015,tmp_2016,tmp_2017,tmp_2018,tmp_2019,tmp_2020
1,Aceh Barat,26.25630358,25.89528846,26.0467694,26.15567039,26.12614673,26.20376298,26.47078056,26.06244683,26.052423,26.4096263,26.27621759
2,Aceh Barat Daya,25.20882861,24.83105207,24.99819705,25.07875214,25.08382882,25.15279495,25.44216202,24.98200897,25.00097462,25.37683686,25.2481964
3,Aceh Besar,26.86661245,26.48971466,26.66152554,26.73995768,26.7273968,26.77868701,27.02396693,26.67653955,26.64241068,26.96606438,26.87445342
4,Aceh Jaya,26.49704899,26.12606241,26.29334629,26.37174103,26.37297884,26.43337111,26.67030457,26.30620557,26.28357342,26.61392557,26.50106199
5,Aceh Selatan,25.86202153,25.48383544,25.63963874,25.73582911,25.76025524,25.81574984,26.11659253,25.64602807,25.66167077,26.0600346,25.91052016
6,Aceh Singkil,27.47104439,27.09119124,27.22336306,27.34414488,27.37209811,27.42336401,27.70690713,27.25806852,27.26513668,27.67526249,27.52906023
7,Aceh Tamiang,27.0568665,26.63727017,26.82261686,26.88507338,26.89670316,26.97270913,27.30045523,26.82408314,26.81098782,27.21584133,27.08635397
8,Aceh Tengah,24.85238047,24.45080542,24.63152648,24.71378064,24.7099687,24.78078047,25.08024431,24.61933435,24.62377296,25.01253906,24.89471019
9,Aceh Tenggara,25.29781724,24.9038899,25.06443766,25.1613075,25.17759019,25.23558611,25.53770496,25.07734839,25.0777825,25.48857374,25.34329234
10,Aceh Timur,27.18478509,26.74406402,26.95017767,27.01590487,27.0272781,27.08707782,27.42393847,26.9338112,26.93320892,27.34041749,27.22179583
11,Aceh Utara,27.44703904,27.004891,27.21412492,27.28378028,27.2834305,27.34392127,27.66586228,27.20342895,27.18676705,27.60190552,27.4864849
12,Agam,26.60660096,26.25066059,26.35206315,26.46443927,26.51229406,26.57302018,26.78374615,26.38564386,26.41229406,26.82706321,26.69777284
13,Alor,25.37229898,25.129984,25.21677965,25.44773175,25.47825174,25.44318647,25.69491694,25.50444291,25.42987568,25.45563249,25.59059028
14,Asahan,27.22888881,26.80584067,26.96533411,27.07213889,27.08648341,27.17372011,27.48643087,26.9820006,27.01406856,27.42361464,27.29745471
15,Asmat,27.30330344,27.01392714,27.08336139,27.07517208,27.17556605,27.14425826,27.03201415,27.03399622,27.14256503,27.20766351,27.22280823
16,Badung,26.23878569,25.97211893,26.20700968,26.22889544,26.23045261,26.08045251,26.25545255,26.14190031,25.83384057,25.88905947,26.44373119
17,Balangan,26.55524743,26.47933185,26.60515521,26.66037508,26.60378232,26.68180516,26.88052252,26.65414896,26.5649555,26.6712749,26.73620046
18,Bandung,24.81040696,24.60235993,24.82736655,24.83351789,24.69838802,24.63986786,24.64639985,24.77054123,24.7228177,24.84147728,24.76050377
19,Bandung Barat,25.67978537,25.47574109,25.70098136,25.71121774,25.5718158,25.52181577,25.51562586,25.65264193,25.60490657,25.73621772,25.62573886
20,Banggai,24.5744658,24.8024624,24.72654732,24.67490396,24.82828328,24.83736792,24.87314589,24.7369326,24.81053546,24.76688699,24.76195842
21,Banggai Kepulauan,25.5089393,25.74384055,25.65481483,25.58352752,25.7506059,25.7343523,25.72824794,25.64730633,25.70762058,25.6652941,25.65365988
22,Banggai Laut,25.18333387,25.39166689,25.29166714,25.25000064,25.40833362,25.38333368,25.31666692,25.29166698,25.34166702,25.26666721,25.26666721
23,Bangka,27.68314425,27.48308017,27.55568272,27.6498079,27.5957086,27.74406724,27.85921878,27.64665132,27.64905157,27.93030319,27.78819564
24,Bangka Barat,27.7837797,27.58034443,27.65229239,27.72792674,27.69682285,27.84122342,27.94383224,27.72665376,27.73428765,28.02271081,27.88562576
25,Bangka Selatan,27.6455859,27.44935074,27.52625811,27.63800505,27.545234,27.71762342,27.80321695,27.6495504,27.66049416,27.91611712,27.75672978
26,Bangka Tengah,27.64986229,27.46085764,27.54264918,27.66085709,27.56547847,27.71946769,27.82563275,27.65658357,27.65595165,27.91596716,27.77227045
27,Bangkalan,27.94733736,27.67988242,27.93596711,27.94575076,27.93437123,27.85382273,27.97115353,27.8728745,27.72856382,27.81281717,28.14031962
28,Bangli,25.31979108,25.05312406,25.27904906,25.31886633,25.31145774,25.16145765,25.33645768,25.20497359,24.91932862,24.99247903,25.52025332
29,Banjar,26.74387418,26.62908018,26.80241204,26.87220783,26.76692367,26.82436403,27.04208912,26.82635546,26.69717035,26.80322708,26.93285573
