asdf_id,shapeName,elevation,tmp2022,tmp2021,tmp2020,tmp2019,tmp2018,tmp2017,tmp2016,tmp2015,tmp2014,tmp2013,tmp2012,tmp2011,tmp2010,prec2022,prec2021,prec2020,prec2019,prec2018,prec2017,prec2016,prec2015,prec2014,prec2013,prec2012,prec2011,prec2010
1,Aceh Barat,272.8765652,25.88171875,25.79534785,26.04238097,26.1757896,25.83037878,25.83199905,26.24033252,25.96258182,25.85897688,25.92183383,25.81385113,25.65311834,26.04435882,302.7603082,255.9384365,267.2418606,232.5168483,255.1244309,195.3854104,210.8038673,167.4834178,200.2275674,229.1431727,177.6482498,196.2058566,229.1538872
2,Aceh Barat Daya,617.8759348,24.70492606,24.64333592,24.92111347,25.04419826,24.67992623,24.65492628,25.11507927,24.82571188,24.70492583,24.75396838,24.67667003,24.50396884,24.91507916,306.2555286,279.7648343,269.6447883,245.3573414,274.4892324,236.6874131,243.3715129,188.2043911,222.0798717,274.6350112,230.2473852,248.2045428,253.6216138
3,Aceh Besar,381.415921,26.46329862,26.39656988,26.61029315,26.70515257,26.38468546,26.41237924,26.75980674,26.51777528,26.44056566,26.47904579,26.39736532,26.2065586,26.62187493,269.323302,205.4436608,235.5063246,195.3044009,242.6813584,178.1778374,186.4903455,152.2118178,183.3939016,159.4466999,133.6870338,144.1520641,207.194102
4,Aceh Jaya,379.2619808,26.18342007,26.10584591,26.32446983,26.43836129,26.12015064,26.12992199,26.49402107,26.25749821,26.1670639,26.1961771,26.11737202,25.93712626,26.33938816,289.3284569,230.4350267,257.3732865,216.6982805,253.6986891,187.4902273,198.6386384,163.9117215,193.7316685,187.0845341,150.0428876,166.423718,220.5653219
5,Aceh Selatan,579.5137208,25.18987676,25.14475464,25.41780305,25.56385992,25.1756037,25.15331097,25.62387527,25.32303271,25.20503622,25.24479531,25.14709886,24.99111839,25.39306173,312.1221253,293.9337356,271.8182983,250.5552425,296.6571796,271.9740864,277.7782802,208.561075,246.4992587,293.6150215,277.7752305,299.3342174,279.4738631
6,Aceh Singkil,54.93280091,26.83673688,26.79232681,27.07840358,27.22080797,26.82228603,26.80741194,27.25625029,26.97270734,26.84422545,26.89348838,26.77270641,26.64053466,27.03188449,308.9716088,293.4159114,263.6508459,245.5696795,302.4353314,288.050125,300.1857226,220.4164735,258.0495299,298.3450947,309.4533499,328.5999829,291.0645194
7,Aceh Tamiang,208.2999732,26.94044586,26.89090419,27.18312046,27.31260795,26.91608756,26.92084973,27.39722168,27.07048342,26.94337764,26.98183972,26.91938327,26.73403659,27.17029955,269.4917335,268.4714409,242.542862,215.9613373,260.5628283,232.9179965,233.6201552,198.524017,219.3436042,258.7323661,230.2652144,253.243242,240.8626203
8,Aceh Tengah,1270.15619,24.12152269,24.06082705,24.35187208,24.46970086,24.09030432,24.07960619,24.53562241,24.23616015,24.12650009,24.17094239,24.08661453,23.90693109,24.33901966,246.7066304,220.1660668,215.6971243,192.887764,216.0258506,179.4542751,184.6179688,144.4021031,174.7633798,213.3916343,168.0142309,182.8643722,194.8278331
9,Aceh Tenggara,1154.091862,24.4798099,24.43713214,24.72542632,24.87012951,24.46747929,24.45962678,24.91983906,24.61964594,24.49825807,24.54421178,24.4465715,24.28602364,24.70764982,312.221271,298.402972,275.2701964,251.9236479,299.6401171,274.4844359,276.9971518,217.8922962,249.7325667,296.9203612,278.3411912,305.099443,282.1418519
10,Aceh Timur,342.2454467,27.02652694,26.97626302,27.28669475,27.40531634,27.0070785,26.9996116,27.48673472,27.1507756,27.0444668,27.08016613,27.0143626,26.80896293,27.26909056,232.4949236,224.067996,204.1626361,181.6319554,217.2436381,192.7348732,192.0940419,159.5742337,184.4664408,215.7427241,184.764862,196.8927316,202.6780274
