id,shapeName,veg2010,veg2011,veg2012,veg2013,veg2014,veg2015,veg2016,veg2017,veg2018,veg2019,veg2020,PopDens2010,PopDens2011,PopDens2012,PopDens2013,PopDens2014,PopDens2015,PopDens2016,PopDens2017,PopDens2018,PopDens2019,PopDens2020,PopDens2021,PopDens2022,PopDens2023
1,Aceh Barat,7322.508286,7437.205313,7339.221451,7365.918993,7296.022193,7241.305556,7188.318434,7141.939588,6435.280419,6188.15684,4467.026826,89.71606537,90.00728069,91.15367336,92.07544668,92.99348439,93.86358893,94.70967487,95.56464971,96.3793568,102.8395381,103.6500726,63.85343003,64.8429132,65.26894895
2,Aceh Barat Daya,7306.507095,7408.122965,7344.154814,7209.871589,7261.859225,7307.91951,6909.243124,7099.503794,6273.541891,5740.19895,5652.616816,89.63687852,89.92573043,91.03598846,91.94623989,91.93444568,92.903365,93.8306839,94.64849134,93.41584699,99.26170778,99.72156643,74.77617119,75.17336731,75.76505755
3,Aceh Besar,6402.362631,6417.933965,6303.477066,6343.368922,6446.498442,6438.742277,6331.926725,6479.316824,5807.276847,5682.315673,3439.521971,134.6308997,135.0600321,136.7199425,138.1045057,139.8150982,141.3083969,142.1104947,143.4126503,143.3688578,153.0049795,154.0329902,137.0785948,139.6367844,140.7203555
4,Aceh Jaya,7505.905094,7606.849646,7563.513199,7419.277978,7562.13506,7405.200817,7261.39089,7370.585473,6661.5229,6290.751409,5759.080084,28.68188818,28.77276393,29.13610427,29.4284019,29.64802725,29.90508767,30.18046,30.42428401,30.63408771,31.34363224,31.5371191,23.29374412,24.19584675,24.44794616
5,Aceh Selatan,7349.850266,7517.315712,7528.890205,7298.568592,7275.812801,7345.899685,7209.665409,7262.461136,6701.94464,5852.473165,4824.814888,45.74705599,45.89009716,45.45082265,45.92659789,46.84750529,46.67273242,47.44979006,47.94650711,48.33089838,51.59816299,52.00160812,44.59091022,46.75613709,47.1074113
6,Aceh Singkil,5812.238867,5968.54564,5986.526175,6020.1846,5784.873045,6028.818364,6043.269357,6101.801908,5587.756685,5364.457737,5335.122352,74.52489703,74.69631792,74.00470117,74.74376253,75.06430514,75.65820507,76.10201655,76.83781674,77.56082535,82.61965133,83.26620295,62.58894634,62.80805457,63.68413896
7,Aceh Tamiang,6356.817872,6187.253953,6492.065489,6328.040086,6293.037094,6177.629288,6266.195671,6126.273113,5747.945027,5551.026856,5764.207361,105.5271536,105.7778748,106.9866889,108.0252694,108.2306363,109.2485215,110.2400369,111.2090151,112.1341679,119.6189402,120.5320318,138.7955176,140.2905283,141.3925067
8,Aceh Tengah,7126.065356,7200.63116,7223.503857,7082.412293,7217.705233,7195.342153,7133.88847,7089.581976,6224.205097,6089.961048,6997.696975,24.82917721,24.90331529,25.25852616,25.46951542,25.87717464,26.44169863,26.70336073,26.93644218,27.22681494,29.06199489,29.29339358,46.38786513,46.67034492,47.02869691
9,Aceh Tenggara,7184.058838,7376.59435,7405.428356,7175.971145,7149.901628,7145.050785,7066.148573,6923.741831,6472.693806,5962.913955,7022.345765,48.28380218,48.42132835,49.01996576,49.55238371,50.03225417,50.48717547,50.62504092,51.06470038,51.17105731,54.5948234,55.01553704,50.71067741,52.06133396,52.427144
10,Aceh Timur,6464.016811,6439.432279,6550.744844,6641.818028,6309.84078,6433.355369,6319.123407,6296.342155,5541.014709,5578.104799,5746.390744,45.78256569,45.92955184,46.50549191,46.97158661,47.2296907,47.66974253,48.12146373,48.54262256,48.93022271,52.20878728,52.60415961,77.71287802,78.3882015,78.98642833
